question,contexts,ground_truth,evolution_type,metadata,episode_done
"What does Alarm ID 3015 (user warning, axis over-travel) with ScreenPriorityID 1 mean on servo alarm/msg system, and how does it differ from Alarm ID 3085 (fatal issue, different axis over stroke)?","['Alarm ID is: 3015, Source type is: Servo alarm/message (2D laser), alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Auxiliary Axis in over-travel, The description of the alarm is: Basic User|WARNING1||, the recommended remedy for this alarm is: \n      .']","Alarm ID 3015 indicates an 'Auxiliary Axis in over-travel' warning on the servo alarm/message system, with a ScreenPriorityID of 1. This is a user warning, suggesting that the auxiliary axis has exceeded its travel limit. On the other hand, Alarm ID 3085 represents a fatal issue, specifically a different axis 'over stroke' problem. The key difference lies in the severity of the alarms: while Alarm ID 3015 is a warning, Alarm ID 3085 represents a more serious, fatal error.",multi_context,"[{'source': 'TULUS - Alarms', 'Alarm ID': '3015'}]",True
"What conditions may trigger 'Wrong' alarms on CNC machines, with no description or remedy?","['Alarm ID is: 22/58, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Wrong ChangePositionLoop modality, The description of the alarm is: None, the recommended remedy for this alarm is: None.', 'Alarm ID is: 22/59, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Wrong Ramp modality, The description of the alarm is: None, the recommended remedy for this alarm is: None.']",nan,multi_context,"[{'source': 'TULUS - Alarms', 'Alarm ID': '22/58'}, {'source': 'TULUS - Alarms', 'Alarm ID': '22/59'}]",True
"Why 'Sorting LST' alarm ID 4456 triggers with ID 4455, if both are similar warnings?","['Alarm ID is: 4455, Source type is: PLC alarm/message, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Sorting LST not ready in the cutting area, The description of the alarm is: Basic User|WARNING1||, the recommended remedy for this alarm is: \n      .']",nan,multi_context,"[{'source': 'TULUS - Alarms', 'Alarm ID': '4455'}]",True
"What can you tell me about alarms 20/16 & 23/363 on CNC, including source type, alarm type, and cause?","['Alarm ID is: 20/16, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: CobId duplicated or not defined, The description of the alarm is: None, the recommended remedy for this alarm is: None.', 'Alarm ID is: 23/363, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Id duplicated in request, The description of the alarm is: None, the recommended remedy for this alarm is: None.']",Alarm 20/16 and 23/363 are CNC alarms with an alarm type of 'Alarm' and a ScreenPriorityID of 1. Alarm 20/16 has a text of 'CobId duplicated or not defined' and alarm 23/363 has a text of 'Id duplicated in request'. The description for both alarms is 'None' and the recommended remedy for both alarms is also 'None'.,multi_context,"[{'source': 'TULUS - Alarms', 'Alarm ID': '20/16'}, {'source': 'TULUS - Alarms', 'Alarm ID': '23/363'}]",True
What common issue triggers 'Drive axis X1 X2 not ready' and 'Drive axis Y Z not ready' alarms in PLCs?,"['Alarm ID is: 15, Source type is: PLC alarm/message, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Drive axis X1 X2 not ready, The description of the alarm is: \n      , the recommended remedy for this alarm is: \n      .', 'Alarm ID is: 16, Source type is: PLC alarm/message, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Drive axis Y Z not ready, The description of the alarm is: \n      , the recommended remedy for this alarm is: \n      .']","A common issue triggering both 'Drive axis X1 X2 not ready' and 'Drive axis Y Z not ready' alarms in PLCs is that the drive axes are not prepared or not in a ready state. The exact cause is not specified in the context, but these alarms indicate that drive axes X1, X2, Y, and Z are not ready for operation.",multi_context,"[{'source': 'TULUS - Alarms', 'Alarm ID': '15'}, {'source': 'TULUS - Alarms', 'Alarm ID': '16'}]",True
"What length difference triggers ""Label %1 too long"" vs ""String too long"" CNC alarms?","['Alarm ID is: 23/157, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Label %1 too long, The description of the alarm is: None, the recommended remedy for this alarm is: None.', 'Alarm ID is: 23/154, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: String too long, The description of the alarm is: None, the recommended remedy for this alarm is: None.']",nan,multi_context,"[{'source': 'TULUS - Alarms', 'Alarm ID': '23/157'}, {'source': 'TULUS - Alarms', 'Alarm ID': '23/154'}]",True
"What sets apart alarm IDs 39/1954, 39/2323 in terms of internal temp issues?","['Alarm ID is: 39/1954, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Internal temperature error 2 (power board), The description of the alarm is: None, the recommended remedy for this alarm is: None.', 'Alarm ID is: 39/2323, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Warning 2 internal temperature (power board), The description of the alarm is: None, the recommended remedy for this alarm is: None.']","Alarm ID 39/1954 indicates a more severe internal temperature issue compared to Alarm ID 39/2323, as it is described as an 'Internal temperature error 2 (power board)', while Alarm ID 39/2323 is a 'Warning 2 internal temperature (power board)'.",multi_context,"[{'source': 'TULUS - Alarms', 'Alarm ID': '39/1954'}, {'source': 'TULUS - Alarms', 'Alarm ID': '39/2323'}]",True
"How does ID 32/1's ""Inadequate memory"" alarm msg/action differ from ID 23/4's ""Insufficient memory on process"" in CNC alarms?","['Alarm ID is: 32/1, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Insufficient memory, The description of the alarm is: None, the recommended remedy for this alarm is: None.', 'Alarm ID is: 23/4, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Insufficient memory on process, The description of the alarm is: None, the recommended remedy for this alarm is: None.']","The alarm message for ID 32/1 is 'Insufficient memory', while the alarm message for ID 23/4 is 'Insufficient memory on process'. The descriptions and recommended remedies for both alarms are 'None'. The difference lies in the specificity of the alarm message, with ID 23/4 providing more context by specifying 'on process'.",multi_context,"[{'source': 'TULUS - Alarms', 'Alarm ID': '32/1'}, {'source': 'TULUS - Alarms', 'Alarm ID': '23/4'}]",True
"What's the Alarm text for ScreenPriorityID 1, cylinder 3 eleévator's contemporaneity sensor timeout, vs. cylinder 4?"" (Note: I assumed ""PLC"" stands for ""Programmable Logic Controller"". If that's not the case, please replace ""PLC"" with the correct abbreviation.)","['Alarm ID is: 2193, Source type is: PLC alarm/message, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Timeout contemporaneity sensor Cylinder 4 Elevator, The description of the alarm is: \n      , the recommended remedy for this alarm is: \n      .']",nan,multi_context,"[{'source': 'TULUS - Alarms', 'Alarm ID': '2193'}]",True
"What details on autotuning alarm's ID or action can be sourced for a CNC alarm, specifying ScreenPriorityID 1?","['Alarm ID is: 39/1313, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Autotuning alarm, The description of the alarm is: None, the recommended remedy for this alarm is: None.']","The alarm ID for the autotuning alarm is 39/1313 and it is a CNC alarm with ScreenPriorityID 1. However, the description and recommended remedy for this alarm are both listed as 'None' in the context.",reasoning,"[{'source': 'TULUS - Alarms', 'Alarm ID': '39/1313'}]",True
"What does 'Timeout during drive enable' mean in CNC alarms, and what action does it typically prompt?","['Alarm ID is: 34/7, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Timeout during drive enable, The description of the alarm is: None, the recommended remedy for this alarm is: None.']","In CNC alarms, 'Timeout during drive enable' means that there has been a delay or failure in enabling the drive, which could be due to various reasons such as technical issues or communication problems. The recommended remedy for this alarm is not specified in the context, but typically, it prompts the user to check the drive and its connections, as well as the control system for any potential errors or faults.",reasoning,"[{'source': 'TULUS - Alarms', 'Alarm ID': '34/7'}]",True
"In a CNC alarms event, for type 'CNC alarms' & ID '22/88', if no desc/remedy's given & text says 'Probing not Required', what action is needed?","['Alarm ID is: 22/88, Source type is: CNC alarms, alarm type is: Alarm, alarm ScreenPriorityID is: 1, alarm text is: Probing not Required, The description of the alarm is: None, the recommended remedy for this alarm is: None.']","For a CNC alarms event with type 'CNC alarms' and ID '22/88', if the alarm text states 'Probing not Required' and there is no description or recommended remedy provided, no specific action is needed based on the given context.",reasoning,"[{'source': 'TULUS - Alarms', 'Alarm ID': '22/88'}]",True
